Auteurs,References articles
L.E.Ibanez,"['9410206', '9508033', '9510093', '9602097', '9607121', '9706158', '9707075', '9804026', '9808139', '9904071', '9905098', '9909172', '0005067', '0011073', '0105155', '0201205', '0203160', '0205074', '0302105']"
A.M.Uranga,"['9410206', '9508033', '9607121', '9706158', '9707075', '9806177', '9808161', '9808139', '9904071', '9905098', '9907074', '9907086', '9908072', '0005067', '0009135', '0011048', '0011073']"
J.L.Jacquot,"['9410211', '9609158', '9909014']"
J.Richert,['9410211']
M.Umezawa,['9410211']
David J.Fernández C,['9410213']
Nicole Marshall,['9410214']
P.S.Montague,"['9410218', '9502138', '9507083', '9507085', '9611231', '9709076']"
K.D.Rothe,"['9410221', '9503110', '9504067', '9507043', '9507114', '9511191', '9608155', '9609131', '9706018', '9706103', '9711092', '9804005', '9809030', '9906072', '9907217', '9909039', '0002208', '0112170']"
Minoru Hirayama,"['9410227', '9612175', '9711060', '0109060']"
Takeshi Hamada,"['9410227', '9612175', '9711060']"
Jin Chen,['9410227']
T.Ortín,['9410230']
K.Kaviani,"['9410231', '9601084', '9709037', '9805162', '9808046', '9902104']"
Dao Vong Duc,['9410232']
L.Schuelke,['9410234']
J.Giesen,['9410236']
A.Garrett Lisi,['9410244']
S.Samuel,"['9411001', '9412197']"
V.Radovanović,['9411002']
Dj.Šijaki,['9411002']
P.Severa,"['9411003', '9502122', '9512040', '9512124', '9602162', '9605212', '9609112', '9610198']"
Christian Wieczerkowski,"['9411004', '9601142', '9603005', '9607042', '9612214', '9612226', '9705096', '9802171']"
Kenneth G.Wilson,"['9411007', '9411008', '9707028', '0203088']"
Martina Brisudova,['9411008']
A.Pasquinucci,"['9411015', '9503040', '9508135', '9611013', '9703066', '9708041', '9708131', '9710237', '9711030', '9712135', '9804029', '9904190', '0002187']"
Simon Hands,['9411016']
Rajesh Gopakumar,"['9411021', '9512225', '9607057', '9704030', '9705188', '9708022', '9802016', '9809187', '9811131', '9812127', '9908020', '0003160', '0005048', '0006062', '0007226', '0009142', '0103256', '0205174', '0211100']"
P.Brax,"['9411022', '0108215', '0201191', '0202136']"
M.Chemtob,"['9411022', '9506178']"
Grigoryan G.V.,['9411023']
Grigoryan R.P.,['9411023']
Sarkissian G.A,['9411023']
Haret C.Rosu,['9411026']
Marco Reyes,['9411026']
13 Pages,['9411027']
Piotr Kosinski,"['9411033', '9611226', '9710111', '9912068', '0208162', '0208213', '0211057']"
Pawel Maslanka,"['9411033', '9810176', '9912068', '0211057']"
J.Donin,"['9411034', '9412031']"
D.Gurevich,['9411034']
A.G.Ushveridze,"['9411035', '9510057', '9510066', '9602076', '9607080', '9707254']"
Takeshi Suzuki,"['9411044', '9412219']"
M.P.Grabowski,"['9411045', '9412039', '9502051', '9604079']"
M.Finkelberg,['9411050']
V.Schechtman.,['9411050']
A.Foerster,['9411052']
P.S.Kuhn,['9411052']
A.Burnel,['9411058']
H.Caprasse,['9411058']
B.Bruegmann,['9411060']
L.Chen,['9411062']
Rajesh Parwani,"['9411065', '9506069']"
Maxim Braverman,['9411070']
Nguyen Suan Han,"['9411072', '9411073']"
Hoang Ngoc Long,['9411072']
Dang Van Soa,['9411072']
J.Jezierski,['9411074']
Jussi Kalkkinen,"['9411075', '9603131', '9612027', '9703098', '9904013', '9905018', '9910048', '0007234', '0008060', '0101028', '0103111', '0212081']"
R.Longo,['9411077']
Hendrik Grundling,"['9411079', '9712052']"
Tobias Hurth,"['9411080', '9508146', '9511139', '9511176', '9702052', '9703017', '9803030', '9811231', '9910201']"
Luis J Boya,['9411081']
Alejandro Rivero,"['9411081', '9804169', '0108136', '0204238', '0208180']"
V.Schechtman,['9411083']
H.Terao,['9411083']
Florian Nill,"['9411084', '9507174', '9509100']"
Hans-Werner Wiesbrock,"['9411084', '9703129']"
Toshiyuki Harano,"['9411086', '9412093', '9507111', '9512064', '9606159', '9607076', '9608060', '9704025']"
K.Bresser,"['9411087', '9903266']"
M.Zeni,"['9411088', '9605018', '9704034', '9705123', '9803029']"
M.Yu.Kuchiev,"['9411090', '9505001', '9602100', '9804077', '9910044']"
Lubna Rana,"['9411091', '9504025', '9510151', '9510152', '9602072', '9606108', '9701024', '9806038', '0208105']"
S.Y.Choi,['9411092']
J.S.Shim,"['9411092', '9510024']"
H.S.Song,"['9411092', '9510024']"
M.Vasiliev,"['9411093', '0103209']"
Hermann Hessling,"['9411094', '0106039']"
V.A.Tsokur,"['9411096', '9411104', '9503064', '9605134', '9605143', '9607034']"
N.Stoilova,['9411098']
B.Abdesselam,"['9411106', '0110143', '0203035']"
A.Chakrabarti,"['9411106', '9601157', '9712153', '9902056', '9908128', '0002144', '0010011', '0101160', '0202141', '0203035', '0211214', '0212288']"
N.F.Svaiter,"['9411109', '9508101', '9508102', '9509109', '9611030', '9612006', '9705070', '9711065', '9802040', '9806027', '9807043', '9903009', '9905039', '9909175', '9910068', '9911159', '0005171', '0012039', '0102072', '0107043', '0110290', '0111108', '0111131', '0207202']"
Nina Byers,['9411110']
Arthur Mezhlumian,['9411111']
H.Konno,['9411112']
Alexander Braverman,"['9411113', '9411126']"
Dennis Gaitsgory,['9411113']
Lech Szymanowski,['9411114']
A.Andrasi,"['9411117', '9912138']"
Jose Ignacio Rosado,"['9411119', '9411185', '9504056', '9511208', '9602166', '9701041', '9706041']"
Daniela Garajeu,['9411125']
Richard Grimm,"['9411125', '9706108', '9801201', '0009201']"
Serge Lazzarini,"['9411125', '9801143', '9807077']"
J.Madore,"['9411127', '9502017', '9506183', '9506041', '9601120', '9601169', '9903239', '0103164', '0207225']"
T.Masson,['9411127']
Amit Ghosh,"['9411128', '9504161', '9604056', '0005108', '0101117']"
T.Hubsch,"['9411131', '9505164', '0005162', '0012042', '0012180', '0104057', '0112079', '0201187']"
R.B.Levien,['9411137']
Anthony Giaquinto,['9411140']
I.N.Mcarthur,"['9411150', '9504160', '9705200', '9806082', '9908045', '0101127', '0105121', '0109183', '0203236', '0206234', '0210007', '0302205']"
Adriá N R.Lugo,['9411152']
M.A.De Andrade,"['9411154', '9411155', '9501002', '9506146', '9603054', '9712100', '9810145', '9904134', '9907148', '9908190', '0005035', '0104154', '0105025', '0108197']"
O.M.Del Cima,"['9411154', '9412007', '9501002', '9506146', '9603054', '9611001', '9611002', '9712100', '9806137', '9903004', '9906146', '9908190', '9912148', '0011293', '0012229', '0104116', '0204024', '0212285']"
I.Krichever,"['9411160', '9505035', '9505039', '9604080', '9611158', '9704090', '9912180', '0005259', '0010184', '0112096', '0203192']"
A.A.Sharapov,"['9411162', '9411167', '9509062', '9603174', '9605186', '9609133', '9705082', '9805020', '9811003', '0002247', '0010029', '0101032', '0103091', '0110138', '0201033', '0201046', '0206039', '0212286']"
S.A.Lyakhovich,['9411167']
U.A.Wiedemann,"['9411174', '9508134']"
Davide Stelitano,['9411175']
Marc Grisaru,['9411176']
D.Fliegner,"['9411177', '9702092', '9707189']"
P.Haberl,"['9411177', '9702092', '9707189']"
V.Tarasov,['9411181']
Ettore Aldrovandi,"['9411184', '9606163']"
Gregorio Falqui,['9411184']
Hans-Peter Thienel,"['9411189', '9511155']"
Y.Xylander,['9411191']
J.Van Der Jeugt.,['9411200']
Taichi Itoh,"['9411201', '9508113', '9802101', '9812041', '0006162', '0006163', '0101041', '0104204', '0105044', '0112010', '0206238', '0207077', '0208137']"
Masaki Sugiura,['9411201']
Koichi Yamawaki,"['9411201', '9502043', '9611142', '9707141', '9802037', '0106167']"
Jerzy Kijowski,"['9411212', '9712101', '9712106']"
D.V.Vassilevich,"['9411214', '9602113', '9605026', '9702178', '9707115', '9707041', '9709084', '9709182', '9801122', '9809168', '9809211', '9811092', '9906144', '9907076', '9911179', '0001125', '0006108', '0009084', '0101105', '0102091', '0111073', '0204253', '0208052', '0301061', '0304267']"
Per Kraus,"['9411219', '9604151', '9607200', '9610045', '9705003', '9706196', '9709122', '9709199', '9712013', '9804067', '9805171', '9808017', '9811120', '9902121', '9903190', '9906127', '9910149', '0001143', '0002117', '0005031', '0008064', '0010060', '0010016', '0012198', '0105227', '0110035', '0203221', '0206080', '0208003', '0212277', '0303104', '0304138']"
Ruud Siebelink,"['9411221', '9902045', '9906127']"
M.Fleck,"['9411224', '9906019']"
D.J.Lamb,"['9411225', '9411237', '9412010', '9412041', '9508077']"
M.A.Van Eijck,"['9411226', '9601165']"
M.Reuter,"['9411227', '9510011', '9511128', '9512056', '9602012', '9604124', '9605030', '9605039', '9612158', '9708051', '9804036', '9812178', '9910085', '0002196', '0006099', '0106133', '0108040', '0110021', '0110054', '0112089', '0205062', '0206145']"
N.Nakazawa,"['9411232', '9509087']"
N.Pantoja,['9411235']
M.Kobayashi,"['9411237', '9412041', '9508077']"
R.E.Gamboa Saravi,"['9411238', '9902002']"
H.J.Munczek,['9411239']
Yao-Zhong Zhang Kcl-Th-94-20,['9411241']
Uqmath-94-10,['9411241']
Klaus Behrndt,"['9412162', '9509102', '9601010', '9604168', '9608059', '9610232', '9611237', '9611140', '9701053', '9702168', '9702205', '9704013', '9705169', '9706096', '9708065', '9710228', '9712142', '9712221', '9801058', '9801081', '9804159', '9806195', '9809015', '9812169', '9905180', '9907006', '9907070', '9909058', '0001082', '0001159', '0002057', '0005185', '0008112', '0101007', '0101119', '0101212', '0102128', '0112136', '0201272', '0204061', '0301098', '0302047', '0303266']"
G.Mangano,"['9412167', '9603095', '9610035', '9612084', '9704184']"
F.Zamora,"['9412171', '9509012', '0112147']"
P.Demkin,['9412172']
B.Linet,['9412178']
Paolo Rossi,"['9412182', '0104024', '0106185', '0111090', '0212161']"
Kazuto Oshima,"['9412183', '9508171', '9610196', '9802053', '9805049', '0103002']"
Daniel Kastler,"['9412185', '9501077', '9506044', '9507150', '9511011', '9612228']"
V.Elkonin,"['9412186', '9506051']"
Y.Shamir,"['9412186', '9506051', '9908074']"
Per Liljenberg,"['9412188', '9601136']"
Farid Benachenhou,['9412189']
M.Li,"['9412203', '9706083', '9709114']"
A.Lue,['9412206']
A.Mikovicć,['9412210']
B.Sazdović,"['9412210', '9503147', '9709173']"
Valeri Frolov,"['9412211', '9511136', '9802010', '0206046', '0208102']"
E Corrigan,"['9412213', '9501098', '9707235']"
D.Ebert,"['9412214', '9605086', '9608072', '9707097', '9712016', '0012256', '0106049', '0107192']"
M.Nagy.M.K.Volkov,['9412214']
N.A.Saulina,"['9412217', '9507033', '9508138', '9607079', '9705170']"
K.N.Zyablyuk,"['9412217', '9507033', '9603171', '9607079', '9608119']"
Mu-In Park,"['9412218', '9506082', '9510132', '9701102', '9702134', '9702002', '9711142', '9803208', '9805033', '9805178', '9806119', '9810217', '9811033', '9903069', '9910142', '9910158', '9910213', '0006164', '0111224']"
J.M.Leinaas,['9412221']
Younghoon Park,['9412225']
Yongsung Yoon,"['9412225', '9612001', '0002151', '0012055', '0101179']"
Yi Sun,['9412226']
Jordi Paris,"['9412228', '9603012', '9705085']"
Stuart Samuel,"['9412228', '9705167', '9709195']"
V.Bazhanov,"['9412229', '9604044', '9812247', '9812091']"
A.Zee,"['9412230', '9610009', '9610054', '0004206', '0004124', '0109045']"
P.Ramond,"['9412234', '9608077', '9807079', '9808190', '9908208', '0207253', '0304265']"
Debashis Gangopadhyay,"['9412238', '9710138', '9710139', '9801174', '9810017', '0111149', '0208097', '0210051', '0210174']"
Soumitra Sengupta,"['9412238', '9710138', '9710139', '9801174', '9802111', '9811012', '0102073', '0106236', '0109135', '0110190', '0204242', '0207065', '0207165', '0210176']"
L.Accardi,"['9412241', '9502092', '9503041', '9503169', '9905035']"
Y.G.Lu,"['9412241', '9503169']"
V.A.Slobodenyuk,"['9412001', '9506134', '9605188', '9703169', '9710143', '9810079']"
B.Julia,"['9412002', '9608082', '9710119', '9712254', '9803239', '9806106', '9904003', '9909099', '9911035', '0002035', '0012230', '0112065']"
N.D.Lambert,"['9412004', '9508039', '9508177', '9510130', '9605010', '9605146', '9703143', '9707139', '9707156', '9709014', '9710033', '9710034', '9712040', '9801104', '9811025', '9811177', '9904097', '9905029', '9905031', '9907170', '9908129', '0003197', '0006122', '0009155', '0010045', '0012121', '0104218', '0107209', '0205247', '0208217', '0209141']"
P.Holod,['9412005']
Jorge Alfaro,"['9412012', '9505079', '9604011', '9702060', '9703054', '0104137', '0108061', '0111176', '0208193']"
Ricardo Medina,"['9412012', '9505079']"
Luis F.Urrutia,"['9412012', '9505079', '9511092', '9608178', '0010114', '0102104', '0103057', '0108061', '0206129', '0304228']"
S.Sachse,['9412017']
S.Duerr,['9412018']
Sergey N.Solodukhin,"['9412020', '9504022', '9506206', '9604118', '9609085', '9612061', '9701106', '9709064', '9801054', '9806004', '9808132', '9812056', '9909197', '9910023', '0002230', '0011230', '0012231', '0107173', '0112055', '0212308', '0212001', '0303006']"
J.Boguszynski,"['9412021', '9910024']"
H.D.Dahmen,"['9412021', '9506162', '9711192', '9910024']"
R.Kretschmer,"['9412021', '9910024']"
L.Lukaszuk,"['9412021', '9906026', '9910024']"
L.Szymanowski 11 Pages In Latex,['9412021']
Si 94-15,['9412021']
A.Mukherjee,"['9412024', '9609116', '9703176', '9712242', '9803089', '9809010', '9905170', '9906117', '9912245', '0008166', '0106164']"
L.Crane,['9412025']
D.Yetter,['9412025']
N.Ohta,"['9412027', '9504033', '9707256', '9807111', '0009147', '0101069', '0111027']"
S.V.Esaibegyan,"['9412028', '9601086']"
S.N.Tamaryan,"['9412028', '0005165']"
M.Abolhassani,['9412029']
Alexander Berkovich,"['9412030', '9507072', '9508110', '9512182']"
S.Shnider,['9412031']
Yu Cai,"['9412034', '9412111', '9508028']"
Chongying Dong,"['9412037', '9412038', '9412109']"
Geoffrey Mason,"['9412037', '9412109']"
Zongzhu Lin,['9412038']
Dae-Yup Song,"['9412043', '9505036', '9507080']"
K.Svozil,"['9412046', '9412048']"
M.Oleszczuk,['9412049']
R.Holman,"['9412052', '9702011', '9904216', '0210233']"
Galin Georgiev,['9412054']
Pierre Sikivie,['9412055']
Youli Kanev,['9412055']
Joseph Bernstein,['9412056']
S.L.Woronowicz,"['9412058', '9412059']"
Tchavdar D.Palev,"['9412060', '9607221', '9607222']"
V.A.Smirnov,"['9412063', '9412064', '9605162', '9605164', '9608151']"
B.A.Faizullaev,"['9412066', '9502139']"
M.M.Musakhanov,"['9412066', '9501027', '9502139']"
S.Yu.Kalmykov,['9412067']
E.S.Fraga,"['9412068', '9608080']"
C.A.A.De Carvalho,"['9412068', '9511005', '9608080', '9704091', '0101142', '0210201']"
H.C.Baehr,['9412069']
Dieter Lust,"['9412071', '9412079', '9512129', '9608099', '9608154', '9609111', '9705169', '9706096', '9708065', '9709222', '9711157', '9801017', '9803232', '9803072', '9804074', '9810254', '9901041', '9903093', '9904033', '9904069', '9905180', '9906101', '9908169', '9910094', '9912225', '0003024', '0005251', '0007024', '0010198', '0012156', '0102128', '0103203', '0104156', '0106155', '0107138', '0111165', '0112015', '0201270', '0202024', '0202124', '0206038', '0207024', '0210083', '0303016']"
D.Korotkin,"['9412072', '9504088', '9605144', '9607095', '9612065', '9710210']"
Jerzy Lewandowski,"['9412073', '9603083']"
L.Rozansky,"['9412075', '9612216']"
S.J.Poletti,"['9412076', '9502054']"
J.Twamley,"['9412076', '9502054']"
Ingo Gaido,['9412079']
G.M.Cicuta,"['9412080', '9510057', '9510066', '9701108', '0109160']"
L.Molinari,"['9412080', '0109160']"
E.Montaldi,['9412080']
S.Stramaglia,"['9412080', '9510066']"
I.Giannakis,['9412081']
A.Nicolaidis,"['9412081', '9702185', '0009151']"
R.M.Asherova,['9412082']
N.A.Gromov,"['9412083', '0102052', '0102053', '0110257', '0209097', '0210304']"
Bodo Pareigis,['9412085']
M.De Francia,"['9412088', '9608192', '9809081', '9811046', '9811242', '9910154']"
H.Falomir,"['9412088', '9608101', '9608192', '9609194', '9612155', '9811046', '0008251', '0103037', '0103050', '0107023', '0111073', '0203260']"
M.Loewe,"['9412088', '9608192', '9811046', '9911151', '0008251', '0010220', '0101081', '0104224', '0106125', '0203260']"
E.M.Santangelo,"['9412088', '9501122', '9608101', '9809081', '9811242', '9910154', '0006123', '0103037', '0104025', '0111073', '0205199']"
You-Quan Li,"['9412091', '9606182', '9607014']"
Jen-Chi Lee,"['9412095', '9505107', '0005227', '0005228', '0007026', '0007070', '0107014', '0107105', '0212196', '0302123', '0303012']"
C.Bartocci,['9412097']
S.Zakrzewski,"['9412098', '9412099', '9412100', '9412101']"
Matti Pitkänen,"['9412103', '9502037']"
A.Borderies,['9412104']
P.Grangé,"['9412104', '9802169', '0002232']"
R.M.Mir – Kasimov,['9412105']
Andreas Ludwig,['9412108']
F.Lenz,"['9412113', '9412143', '9802066', '9803177', '9808167', '0007081', '0208220']"
M.Thies,"['9412113', '9412143', '9504068', '9802060', '9802066', '0007081']"
Stefan Mashkevich,"['9412119', '9507034', '9511004', '9602171', '9611048', '9701002', '9709102']"
Jan Myrheim,"['9412119', '9507034', '9602171', '9702066']"
Kåre Olaussen,"['9412119', '9504096', '9507034', '9602171']"
C.Cronstrom,['9412122']
M.Noga,['9412122']
S.Braune,['9412123']
Hu Berlin,['9412123']
Alex Kasman,['9412124']
C.Jakovljevic,['9412126']
Yaroslav Pugai,"['9412128', '9710099', '9805216']"
Bernd Kuckert,"['9412130', '9509155', '0107236']"
Thomas Banks,['9412131']
V.A.Krykhtin,"['9412132', '9908028', '9910188', '0207086', '0303186']"
Khazret S.Nirov,"['9412134', '9510107', '9512167', '9704183', '9804044', '0210136', '0210267']"
Zhong Tang,"['9412136', '9604185', '9604187']"
David Finkelstein,"['9412136', '9604185', '9604187', '0206036']"
Jin Bai-Qi,['9412139']
Ma Zhong-Qi,['9412139']
E.Ruiz Arriola,"['9412140', '9811073', '9910230', '0212237']"
E.J.Moniz,['9412143']
Ikuo Ichinose,['9412144']
Yuji Satoh,"['9412144', '9611041', '9705208', '9705209', '9801125', '9808080', '9810135', '9902120', '0001063', '0005152', '0005169', '0009107', '0105283', '0109059', '0209043', '0209195', '0212089', '0302020']"
J.P.Garrahan,['9412146']
L.M.Kruczenski,['9412146']
C.L.Schat,['9412146']
D.R.Bes,"['9412146', '9708146']"
N.N.Scoccola,"['9412146', '9708146']"
G.G.Hartwell,['9412147']
C.Emmrich,"['9412148', '9601138', '9701111']"
A.Weinstein,['9412148']
S.Kanemura,"['9412149', '9511059']"
N.K.Nielsen,"['9501103', '9705081', '9912006', '0005284']"
U.J.Quaade,['9501103']
Stefano Vinti,"['9501104', '9810202']"
Jcbreckenridge,['9501108']
Tgsteele,['9501108']
V.Elias,"['9501108', '9605027', '0209151', '0301183']"
Clovis Wotzasek,"['9501110', '9502042', '9511183', '9608149', '9608187', '9710199', '9805043', '9806005', '9809136', '9904152', '0004182', '0004191', '0005010', '0005071', '0101215', '0106199', '0203234', '0211161']"
I.Bandos,"['9501113', '9502143', '9802032', '9810038']"
D.Volkov,"['9501113', '9502143']"
Alex J.Feingold,['9501114']
John F.X.Ries,['9501114']
Wulf Boettger,"['9501115', '9502005']"
Henning Wissowski,"['9501115', '9502005']"
Hans A.Kastrup,"['9501115', '9502005']"
A.I.Bugrij,"['9501116', '9507101', '9510232', '9706045', '0011104', '0106270', '0107117']"
V.N.Shadura,"['9501116', '9510232', '9706045']"
J.Loeffelholz,['9501118']
Jan C.Plefka,"['9501120', '9504089', '9601041', '9705114', '9806081']"
C.G.Beneventano,"['9501122', '9809081', '9811242', '9910154', '0006123', '0205199']"
A.V.Antonov,"['9501128', '9505155']"
A.A.Belov,"['9501128', '9505155']"
B.L.Feigin,"['9501128', '9907171', '0008011']"
András Kaiser,['9501130']
Alan Chodos,"['9501130', '9609072', '9610150', '9709179', '9709197', '9909199', '0006093', '0304112']"
